tsne_1,tsne_2,noise_level
24.662836,11.9541855,0
38.829006,18.666739,0
13.317161,34.21872,0
24.598743,-21.918188,0
-11.462469,8.643569,0
28.644445,23.23025,0
-12.003995,14.785657,0
31.543705,27.12792,0
28.326122,8.342992,0
-8.1234255,3.7140079,0
34.614338,11.927262,0
-2.7851725,-1.002868,0
10.363509,-16.877094,0
27.486525,7.4177785,0
34.86567,-12.490941,0
12.141457,-32.393745,0
30.467623,19.719885,0
33.680077,23.495445,0
21.929382,-19.319391,0
-3.016848,17.83336,0
35.697323,23.422699,0
22.102848,20.702501,0
27.538376,23.32565,0
0.80558145,-10.858171,0
-4.7553005,2.2550035,0
36.90299,24.04645,0
-2.8457458,4.8961587,0
18.389492,-1.1138972,0
13.803928,-11.331946,0
29.91712,-19.500011,0
13.99628,-6.75829,0
17.034191,22.499344,0
32.376556,18.383648,0
30.750801,23.034588,0
-19.752604,-29.084394,0
23.50785,16.192062,0
-7.7924695,6.3860607,0
0.34623396,-17.047905,0
12.494205,27.867147,0
-6.679959,3.4174383,0
8.026796,22.841908,0
18.90132,24.673733,0
4.684207,-5.729553,0
-12.736475,12.41304,0
34.38953,5.5507016,0
21.439672,-21.743092,0
10.328443,-9.390742,0
-1.8241562,-6.5414414,0
-11.251048,15.060214,0
18.707314,27.737158,0
20.130608,5.2452726,0
-15.42652,-27.619606,0
-24.548544,13.631832,0
37.94037,10.448948,0
0.6583406,-26.69231,0
41.809437,8.569387,0
-27.513016,19.376738,0
26.990944,10.756998,0
-31.124697,17.481247,0
30.122416,8.302855,0
30.537258,-0.48739278,0
16.275091,23.60191,0
-5.1251063,27.875063,0
-3.387849,26.00572,0
32.252495,15.922821,0
38.288773,15.345743,0
-2.6699374,1.2115523,0
4.256236,-19.561518,0
11.516642,-11.6887665,0
-7.616312,-4.0047984,0
10.0656,33.504128,0
3.978061,0.31870216,0
31.088226,9.27067,0
-11.856461,4.0971494,0
11.422407,-7.587382,0
25.305204,-11.5169115,0
-16.745422,23.250982,0
23.94002,-0.032891057,0
20.591183,15.452193,0
32.25821,3.9505723,0
-6.1905456,-22.377447,0
-7.870339,26.544958,0
0.73667353,6.2924833,0
26.162157,-3.4234822,0
10.028131,-6.859888,0
32.243965,0.90872496,0
22.295738,3.974871,0
-0.14875306,5.5399227,0
29.623558,11.14496,0
27.70195,20.773592,0
-0.40625012,28.814447,0
22.94714,9.73594,0
30.222397,9.392924,0
19.419939,17.236904,0
26.55825,-21.075485,0
26.033817,4.4862933,0
-23.73018,11.14214,0
22.918667,34.806553,0
24.952759,15.358136,0
7.6170154,26.458742,0
40.36556,-3.9034286,0
27.748627,15.359346,0
33.78554,12.380638,0
10.73671,-28.535133,0
-11.911641,28.618286,0
38.635654,-2.3684936,0
7.6924443,-20.540674,0
28.306154,21.934155,0
-18.675346,9.107933,0
37.086796,-12.72772,0
-1.9872485,-22.883123,0
2.785055,26.741137,0
28.940264,-3.1545067,0
-0.20266575,-33.00766,0
7.51234,-6.0062857,0
