tsne_1,tsne_2,noise_level
12.860996,9.589833,0.0
-10.5766325,-6.2585106,0.0
3.5262556,-3.8862402,0.0
21.020838,-2.9860196,0.0
9.0998535,6.9008727,0.0
6.3180385,15.207115,0.0
25.656788,2.1829264,0.0
-9.161806,-1.9749626,0.0
-7.8995447,-12.289324,0.0
-10.97601,-21.625238,0.0
15.414041,0.13719888,0.0
-10.967663,-17.241827,0.0
-5.0209546,12.324941,0.0
-14.095082,-5.3068385,0.0
20.398342,15.916585,0.0
9.683209,19.55366,0.0
-17.565168,-21.279469,0.0
-8.461385,-14.467189,0.0
18.20864,-9.838802,0.0
9.173865,-5.841046,0.0
15.010046,4.059159,0.0
-5.056112,-5.4677205,0.0
3.1267269,4.5855894,0.0
-1.7413408,-2.493879,0.0
-5.430364,-10.465825,0.0
-4.9331017,-12.918041,0.0
-2.4322593,-11.405761,0.0
-22.169603,-6.627168,0.0
9.838251,2.2084723,0.0
7.7725425,4.6383114,0.0
8.043678,9.568746,0.0
7.094935,12.420288,0.0
14.388082,-5.056248,0.0
-17.20637,-9.571014,0.0
-6.6180177,18.680935,0.0
1.2730364,-3.1816905,0.0
6.677732,-15.496996,0.0
-15.277887,-16.215765,0.0
-0.2088012,0.36431357,0.0
-16.856562,8.191728,0.0
-0.56992966,15.654841,0.0
-2.5155227,-14.744275,0.0
-5.321536,-1.6564564,0.0
-10.494126,2.9020905,0.0
6.2743344,6.1500263,0.0
18.926432,11.692584,0.0
-2.2406442,1.7084588,0.0
-14.399468,-12.783732,0.0
3.1652775,-7.1698337,0.0
-0.5078628,22.741959,0.0
-11.652243,13.571821,0.0
-2.611388,-19.762627,0.0
2.5299394,-12.299576,0.0
-10.285503,-12.79413,0.0
6.2965174,-3.1922092,0.0
-4.5845118,-25.439709,0.0
-8.174793,-18.16636,0.0
6.933618,-10.278542,0.0
10.922426,-1.910711,0.0
-0.8793345,9.128641,0.0
9.727175,15.745604,0.0
5.406922,-6.229323,0.0
-9.901498,7.6227736,0.0
2.4768004,-0.9653198,0.0
21.133081,6.513253,0.0
6.815823,0.020263739,0.0
-7.96102,-5.0124044,0.0
14.320411,12.611333,0.0
4.624313,1.8199732,0.0
3.0162745,-21.399878,0.0
-20.108912,1.4973121,0.0
0.0080896085,-5.8042407,0.0
-14.778978,4.436086,0.0
12.28499,13.799745,0.0
11.892554,-10.755281,0.0
13.445567,16.892729,0.0
4.667049,19.00084,0.0
1.6931891,2.5648208,0.0
10.910629,4.3307805,0.0
0.55761635,4.829621,0.0
4.347289,8.925741,0.0
-13.561954,-21.66756,0.0
-18.376087,-4.6849475,0.0
0.29109424,-10.369746,0.0
11.753292,11.542543,0.0
-13.364282,-9.309925,0.0
-6.115985,2.5045245,0.0
-4.4135685,7.210476,0.0
12.698322,7.634611,0.0
16.17456,8.871547,0.0
-9.776018,-10.848707,0.0
-13.541493,-0.7383441,0.0
1.3231846,12.449424,0.0
16.443563,21.550886,0.0
-7.1746836,-7.1060767,0.0
-20.102213,-13.496068,0.0
25.015194,9.849238,0.0
-2.67005,-7.86396,0.0
20.669756,2.219345,0.0
-6.0496554,-15.616994,0.0
12.652383,9.950796,0.1
-10.5070715,-6.1452456,0.1
